Datawrappergemeente,Gemiddeldinkomenperinwoner,Gemeente
Lobbes,19011,Lobbes
Merbes-le-Château,16413,Merbes-le-Château
Momignies,14251,Momignies
Thuin,19015,Thuin
Estinnes,17815,Estinnes
Ham-sur-Heure-Nalinnes,21935,Ham-sur-Heure-Nalinnes
Morlanwelz,15890,Morlanwelz
Sivry-Rance,16347,Sivry-Rance
Antoing,15793,Antoing
Celles,17253,Celles
Estaimpuis,16808,Estaimpuis
Pecq,17321,Pecq
Péruwelz,15819,Péruwelz
Rumes,17036,Rumes
Tournai,17313,Doornik
Brunehaut,16677,Brunehaut
Leuze-en-Hainaut,17486,Leuze-en-Hainaut
Mont-de-l'Enclus,18344,Mont-de-l’Enclus
Amay,17005,Amay
Burdinne,20510,Burdinne
Clavier,18267,Clavier
Ferrières,18567,Ferrières
Hamoir,17429,Hamoir
Héron,19505,Héron
Huy,16763,Hoei
Marchin,18272,Marchin
Modave,19667,Modave
Nandrin,23672,Nandrin
Ouffet,18008,Ouffet
Verlaine,20414,Verlaine
Villers-le-Bouillet,20585,Villers-Le-Bouillet
Wanze,19300,Wanze
Anthisnes,19898,Anthisnes
Engis,15346,Engis
Tinlot,20177,Tinlot
Ans,16395,Ans
Awans,19308,Awans
Aywaille,17939,Aywaille
Bassenge,18574,Bitsingen
Beyne-Heusay,16228,Beyne-Heusay
Chaudfontaine,23739,Chaudfontaine
Comblain-au-Pont,16632,Comblain-au-Pont
Dalhem,20250,Dalhem
Esneux,21664,Esneux
Fléron,16979,Fléron
Herstal,14490,Herstal
Juprelle,19509,Juprelle
Liège,14873,Luik
Oupeye,17400,Oupeye
Saint-Nicolas,13453,Saint-Nicolas
Seraing,14058,Seraing
Soumagne,18061,Soumagne
Sprimont,21017,Sprimont
Visé,17277,Wezet
Grâce-Hollogne,15260,Grâce-Hollogne
Blégny,19625,Blégny
Flémalle,16106,Flémalle
Neupré,24147,Neupré
Trooz,18284,Trooz
Amblève,17251,Amel
Aubel,18944,Aubel
Baelen,18551,Baelen
Büllingen,17060,Büllingen
Bütgenbach,16900,Bütgenbach
Dison,12113,Dison
Eupen,18124,Eupen
Herve,18880,Herve
Jalhay,20543,Jalhay
Kelmis,16348,Kelmis
Lierneux,17177,Lierneux
Limbourg,16951,Limburg
Lontzen,18209,Lontzen
Malmedy,17285,Malmedy
Olne,21772,Olne
Pepinster,16936,Pepinster
Raeren,20278,Raeren
Sankt Vith,18340,Sankt Vith
Spa,17370,Spa
Stavelot,17418,Stavelot
Stoumont,18911,Stoumont
Theux,19871,Theux
Verviers,14245,Verviers
Waimes,16850,Weismes
